,id,title,type,description,release_year,genres,production_countries,imdb_score,actors,directors
2001,2001,the house of flowers,show,the outward perfection of a family-run flower business hides a dark side rife with dysfunctional secrets in this darkly humorous comedy series.,2018,drama|comedy,mx,8,aislinn-derbez|dario-yazbek-bernal|arturo-ríos|paco-león|cecilia-suárez|juan-pablo-medina|luis-de-la-rosa|norma-angélica,
2002,2002,get me roger stone,movie,"from his days of testifying at the watergate hearings to advising recent presidential candidate donald trump, roger stone has long offended people on both sides of the political fence as a force in conservative america. outspoken author, pundit, ahead of his time election strategist, this is his story.",2017,documentation,us,7,roger-stone|donald-trump|paul-manafort|jeffrey-toobin|jane-mayer|nydia-stone|wayne-barrett|harry-siegel|alex-jones|matt-labash|tucker-carlson|melania-trump|ivanka-trump|donald-trump-jr.|nancy-davis-reagan|mike-pence|marla-maples|jared-kushner|jacqueline-kennedy|john-f.-kennedy|al-gore|rudolph-giuliani|james-comey|ben-carson|jeb-bush|bill-clinton|ted-cruz|chris-cuomo|steve-bannon|ronald-reagan|richard-nixon|hillary-clinton|gerald-ford|roy-cohn|lester-holt|david-letterman|bill-maher|oprah-winfrey|nelson-rockefeller|dwight-d.-eisenhower|julian-assange|al-sharpton,morgan-pehme|dylan-bank|daniel-dimauro
2003,2003,nathicharami,movie,"a widow struggles with the dilemma of her own growing sexual needs, and her desire to remain faithful to the memory of her late husband.",2018,drama,in,7,sruthi-hariharan|balaji-manohar|sanchari-vijay|poornachandra-mysuru,mansore
2004,2004,mubarakan,movie,"singleton kartar singh is left with the responsibility of raising his two orphaned nephews. he asks his brother in punjab to raise charan and his sister in london to raise karan. when the twins cross continents, they leave behind a trail of confusion.",2017,comedy|drama|romance,in,6,anil-kapoor|arjun-kapoor|ileana-d'cruz|athiya-shetty|neha-sharma|rahul-dev|karan-kundra|ratna-pathak|anil-charanjeett|pavan-malhotra|hiten-patel|asha-patel,anees-bazmee
2005,2005,insatiable,show,"a bullied teenager turns to beauty pageants as a way to exact her revenge, with the help of a disgraced coach who soon realizes he's in over his head.",2018,drama|comedy|thriller,us,6,debby-ryan|dallas-roberts|kimmy-shields|christopher-gorham|alyssa-milano|erinn-westbrook|irene-choi|arden-myrin|michael-provost|sarah-colonna,
2006,2006,okko's inn,movie,"12-year-old oriko seki, who lost her parents in a car accident, ended up living in her grandmother's onsen ryokan ""haru no ya."" with the ghost ""uribou"" cohabitating with her and all the other odds, she ended up training to be a young female innkeeper. at first, she didn't like the training, but gradually felt her admiration for her title and began to train seriously. thus, the growth of the young warrior oriko begins.",2018,fantasy|drama|family|animation,jp,7,seiran-kobayashi|nana-mizuki|satsumi-matsuda|rina-endou|etsuko-kozakura|yoko-asagami|kana-hanazawa|teiyu-ichiryusai|masaki-terasoma|fumiko-orikasa|yumiko-kobayashi|mikako-komatsu|makoto-tanaka|rie-takahashi|kunpei-sakamoto|miyako-ito|maiko-nomura|haruka-shimizu|haruka-shamoto|ayako-kamegai|wakana-minami|yuya-murakami|masamichi-kitada|ami-naito|shohei-komatsu|shinnosuke-ogami|nodoka-hasegawa|yurianne-eve|osamu-shitara|chiaki-horan|anju-suzuki|hirohide-yakumaru|koichi-yamadera,kitarou-kousaka
2007,2007,transformers: cyberverse,show,"when bumblebee begins to suffer amnesia, his partner, windblade, comes to the rescue, and repairs his memory chips, enabling him to rediscover his past adventures on cybertron. once his memories are repaired, bumblebee gets a clue that will lead both him and windblade to complete their current mission and save their friends, unaware that megatron sent his decepticon assassins to hunt them down.",2018,action|scifi|animation,us,7,jeremy-levy|jessica-digiovanni|jake-tillman|marc-thompson,
2008,2008,when we first met,movie,"noah spends the perfect first night with the girl of his dreams avery but gets relegated to the friend zone. he spends the next three years wondering what went wrong - until he gets the unexpected chance to travel back in time and alter that night, and his fate, over and over again.",2018,comedy|romance|fantasy,us,6,adam-devine|alexandra-daddario|shelley-hennig|andrew-bachelor|robbie-amell|dean-j.-west|tony-cavalero|delfeayo-marsalis|daryn-kahn|peter-jaymes-jr.|martin-bats-bradford|noureen-dewulf|chelsea-bruland|adam-henslee|tenea-intriago|kyler-porche|bertha-bindewald|talbott-lin|audrey-bishop|bill-rainey|bryan-michael-hall|chris-wylde|michael-scott,ari-sandel
2009,2009,munafik 2,movie,"ustaz adam has to help a friend whose village is corrupted by a group of misguided religionists lead by a sinister sorcerer. to make matter worse, adam himself is also being mysteriously haunted by evil apparitions that keeps disturbing him from time to time.",2018,thriller|horror,my,6,syamsul-yusof|maya-karin|nasir-bilal-khan|mawi|fizz-fairuz|fauzi-nawawi|dato'-rahim-razali|ku-faridah|nur-zara-sofia|namron|roslan-salleh|omar-hisham-al-arabi,syamsul-yusof
2010,2010,solo el amor,movie,"a love story between a young lawyer called emma and a noah, a rock star.",2018,drama|music|romance|comedy,ar,5,franco-masini|yamila-saud|andrea-frigerio|gerardo-romano|facundo-gambandé|victorio-d'alessandro|daiana-hernández,andy-caballero|diego-corsini
2011,2011,the last hour,movie,"two peruvian detectives must capture abimael guzman, the leader of terrorist organization shining path, but their intense and complex relationship will endanger their mission and their lives, in the midst of violent lima of 1992.",2018,drama|history|thriller,pe,6,pietro-sibille|nidia-bermejo|toño-vega|tommy-párraga|fausto-molina|katerina-d'onofrio|haysen-pércovich|emilram-cossío|sandro-calderón|tony-zuldaides|iván-chávez|miguel-vargas|herbert-corimanya|renato-rueda|alberick-garcía|vanessa-vizcarra|omar-estrada|carlos-mesta|paul-beretta|diego-seminario,eduardo-mendoza-de-echave
2012,2012,cia: comrade in america,movie,"a young aji mathew is a communist who goes the whole nine yards for the ideologies he believes in. when the girl he loves leaves to the us out of the blue and her parents fix her wedding, aji is left with just a fortnight to reach the country albeit with no passport or visa. how far he is willing to go for love forms the plot.",2017,romance|drama|action,in,6,dulquer-salmaan|siddique|john-vijay|soubin-shahir|karthika-muraleedharan|chandini-sreedharan|dileesh-pothan|jinu-joseph|sujith-sankar|alencier-ley-lopez|maniyanpilla-raju|surabhi-lakshmi|maala-parvathi|v-k-sreeraman|c.-r.-omanakuttan|mano-jose|sumit-naval|sal-yusuf|julio-antonio-alonzo|nathan-amir|paul-nguyen-cuong,amal-neerad
2013,2013,fun mom dinner,movie,"four women, whose kids attend the same preschool class, get together for a ""fun mom dinner"". when the night takes an unexpected turn, these unlikely new friends realize they have more in common than just marriage and motherhood.",2017,comedy,us,5,katie-aselton|toni-collette|bridget-everett|molly-shannon|adam-scott|rob-huebel|adam-levine|paul-rust|paul-rudd|david-wain|john-early|jaz-sinclair|kathryn-prescott|hart-denton|evan-crooks|sam-lerner|leigh-dunham|patrick-brammall|sean-james-murphy|jessie-ennis|jessica-chaffin|claudia-o'doherty|poppy-gagnon|marsai-martin|owen-vaccaro|cooper-j.-friedman|caleb-paddock|matthew-paddock|willa-miel-pogue|emmersyn-fiorentino,alethea-jones
