,id,title,type,description,release_year,genres,production_countries,imdb_score,actors,directors
0,0,five came back: the reference films,show,"this collection includes 12 world war ii-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""five came back.""",1945,documentation,us,-1,,
1,1,rocky,movie,"when world heavyweight boxing champion, apollo creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka rocky balboa, an uneducated collector for a philadelphia loan shark. rocky teams up with trainer  mickey goldmill to make the most of this once in a lifetime break.",1976,drama|sport,us,8,sylvester-stallone|talia-shire|burt-young|carl-weathers|burgess-meredith|thayer-david|joe-spinell|jimmy-gambina|bill-baldwin|al-silvani|george-memmoli|jodi-letizia|diana-lewis|george-o'hanlon|larry-carroll|stan-shaw|don-sherman|billy-sands|pedro-lovell|deforest-covan|simmy-bow|tony-burton|hank-rolike|shirley-o'hara|kathleen-parker|frank-stallone|lloyd-kaufman|jane-marla-robbins|jack-hollander|joe-sorbello|christopher-avildsen|frankie-van|lou-fillipo|paris-eagle|frank-stallone|robert-l.-tangrea|peter-glassberg|william-e.-ring|joseph-c.-giambelluc|joe-frazier|butkus-stallone|michael-dorn|arnold-johnson|stu-nahan|frank-pesce|lavelle-roby|arthur-tovey|john-pleshette|butkus-stallone,john-g.-avildsen
2,2,grease,movie,"australian good girl sandy and greaser danny fell in love over the summer. but when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",1978,romance|comedy,us,7,john-travolta|olivia-newton-john|stockard-channing|jeff-conaway|barry-pearl|michael-tucci|kelly-ward|didi-conn|jamie-donnelly|dinah-manoff|eve-arden|frankie-avalon|joan-blondell|edd-byrnes|sid-caesar|alice-ghostley|dody-goodman|susan-buckner|lorenzo-lamas|fannie-flagg|dick-patterson|eddie-deezen|darrell-zwerling|ellen-travolta|annette-charles|dennis-stewart|barbi-alison|helena-andreyko|jennifer-buchanan|carol-culver|cindy-devore|deborah-fishman|antonia-franceschi|sandra-gray|mimi-lieber|judy-susman|larry-dusich|john-robert-garrett|daniel-levins|sean-moran|greg-rosatti|andy-roth|lou-spadaccini|andy-tennant|richard-weisman|michael-biehn|wendie-jo-sperber,randal-kleiser
3,3,the sting,movie,a novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,1973,crime|drama|comedy|music,us,8,paul-newman|robert-redford|robert-shaw|charles-durning|ray-walston|eileen-brennan|harold-gould|john-heffernan|dana-elcar|jack-kehoe|dimitra-arliss|robert-earl-jones|james-sloyan|charles-dierkop|lee-paul|sally-kirkland|avon-long|arch-johnson|ed-bakey|brad-sullivan|john-quade|larry-d.-mann|leonard-barr|paulene-myers|joe-tornatore|jack-collins|tom-spratley|kenneth-o'brien|ken-sansom|ta-tanisha|william-benedict|robert-brubaker|kathleen-freeman|susan-french|bruce-kimball|alexander-lockwood|chuck-morrell|byron-morrow|pearl-shear|arthur-tovey|guy-way|jim-michael,george-roy-hill
4,4,rocky ii,movie,"after rocky goes the distance with champ apollo creed, both try to put the fight behind them and move on. rocky settles down with adrian but can't put his life together outside the ring, while creed seeks a rematch to restore his reputation. soon enough, the ""master of disaster"" and the ""italian stallion"" are set on a collision course for a climactic battle that is brutal and unforgettable.",1979,drama|sport,us,7,"sylvester-stallone|talia-shire|burt-young|carl-weathers|burgess-meredith|tony-burton|joe-spinell|leonard-gaines|butkus-stallone|sylvia-meals|frank-mcrae|al-silvani|john-pleshette|stu-nahan|bill-baldwin|jerry-ziesmer|paul-micale|earl-montgomery|herb-nanas|stuart-k.-robinson|frank-stallone|charles-""honi""-coles|doug-flor|robert-kondyra|james-zazzarino|eddie-'el-annimal'-lopez|taurean-blacque|james-j.-casino|shaka-cumbuka|roberto-durán|lou-fillipo|ruth-ann-flynn|grainger-hines|garrie-kelly|ava-lazar|joseph-letizia|rené-le-vant|tawny-little|paul-mccrane|sonny-melendrez|tony-munafo|brent-musburger|ed-ness|fred-pinkard|jane-marla-robbins|hank-rolike|david-l.-ross|fran-ryan|whitney-rydbeck|shepherd-sanders|jeff-temkin|allan-warnick|charles-winkler|james-zaza|samuel-davis|rutanya-alda|butkus-stallone",sylvester-stallone
5,5,monty python and the holy grail,movie,"king arthur, accompanied by his squire, recruits his knights of the round table, including sir bedevere the wise, sir lancelot the brave, sir robin the not-quite-so-brave-as-sir-lancelot and sir galahad the pure. on the way, arthur battles the black knight who, despite having had all his limbs chopped off, insists he can still fight. they reach camelot, but arthur decides not  to enter, as ""it is a silly place"".",1975,fantasy|comedy,gb,8,graham-chapman|john-cleese|eric-idle|terry-gilliam|terry-jones|michael-palin|connie-booth|carol-cleveland|neil-innes|bee-duffell|john-young|rita-davies|avril-stewart|sally-kinghorn|mark-zycon|elspeth-cameron|mitsuko-forstater|sandy-johnson|sandy-rose|romilly-squire|joni-flynn|alison-walker|loraine-ward|anna-lanski|sally-coombe|vivienne-macdonald|yvonne-dick|daphne-darling|fiona-gordon|judy-lamb|tracy-sneddon|joyce-pollner|mary-allen|gloria-graham|sylvia-taylor|iain-banks|julian-doyle|margarita-doyle|zack-matalon|scott-mike|william-palin|terry-jones|tom-raeburn|brian-ross|roy-forge-smith|john-thornton|maggie-weston,terry-gilliam|terry-jones
6,6,animal house,movie,"at a 1962 college, dean vernon wormer is determined to expel the entire delta tau chi fraternity, but those troublemakers have other plans for him.",1978,comedy,us,7,john-belushi|tim-matheson|john-vernon|verna-bloom|tom-hulce|cesare-danova|peter-riegert|mary-louise-weller|stephen-furst|james-widdoes|bruce-mcgill|mark-metcalf|dewayne-jessie|karen-allen|james-daughton|martha-smith|sarah-holcomb|lisa-baur|kevin-bacon|donald-sutherland|douglas-kenney|chris-miller|bruce-bonnheim|joshua-daniel|sunny-johnson|stacy-grooman|eliza-roberts|aseneth-jurgenson|katherine-denning|raymone-robinson|robert-elliott|reginald-farmer|jebidiah-r.-dumas|priscilla-lauris|rick-eby|john-freeman|sean-mccartin|helen-vick|rick-greenough|stephen-bishop|john-landis,john-landis
7,7,monty python's flying circus,show,"a british sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,comedy|european,gb,9,graham-chapman|michael-palin|terry-jones|eric-idle|terry-gilliam,
8,8,life of brian,movie,"brian cohen is an average young jewish man, but through a series of ridiculous events, he gains a reputation as the messiah. when he's not dodging his followers or being scolded by his shrill mother, the hapless brian has to contend with the pompous pontius pilate and acronym-obsessed members of a separatist movement. rife with monty python's signature absurdity, the tale finds brian's life paralleling biblical lore, albeit with many more laughs.",1979,comedy,gb,8,graham-chapman|john-cleese|terry-gilliam|eric-idle|terry-jones|michael-palin|terence-bayler|carol-cleveland|kenneth-colley|neil-innes|charles-mckeown|john-young|gwen-taylor|sue-jones-davies|peter-brett|john-case|chris-langham|andrew-maclachlan|bernard-mckenna|spike-milligan|george-harrison,terry-jones
9,9,white christmas,movie,two talented song-and-dance men team up after the war to become one of the hottest acts in show business. in time they befriend and become romantically involved with the beautiful haynes sisters who comprise a sister act.,1954,comedy|music|romance,us,8,bing-crosby|danny-kaye|rosemary-clooney|vera-ellen|dean-jagger|mary-wickes|john-brascia|anne-whitfield|bea-allen|frank-baker|glen-cargyle|george-chakiris|barrie-chase|lorinne-crawford|franklyn-farnum|bess-flowers|gavin-gordon|johnny-grant|percy-helton|i.-stanford-jolley|sig-ruman|grady-sutton|herb-vigran|robert-crosson,michael-curtiz
10,10,heroes,movie,a vietnam veteran suffering from post traumatic stress disorder breaks out of a va hospital and goes on a road trip with a sympathetic traveler to find out what became of the other men in his unit.,1977,drama|comedy|romance,us,6,henry-winkler|sally-field|harrison-ford|val-avery|olivia-cole|hector-elias|dennis-burkley|tony-burton|michael-cavanaugh|helen-craig|john-p.-finnegan|betty-mcguire|john-o'leary|tom-rosqui|fred-stuthman|caskey-swaim|earle-towne|kenneth-augustine|rick-blanchard|louis-carello|robert-kretschmann|alex-tinne|dick-ziker|ben-fuhrman|bill-ackridge|gary-bertz|susan-bredhoff|william-h.-burton-jr.|david-r.-ellis|james-w.-gavin|pat-hustis|bennie-moore|john-cassavetes|bob-harks|stuart-margolin|william-watson|james-worth,jeremy-kagan
11,11,play misty for me,movie,"a brief fling between a male disc jockey and an obsessed female fan takes a frightening, and perhaps even deadly turn when another woman enters the picture.",1971,drama|thriller,us,7,clint-eastwood|jessica-walter|donna-mills|john-larch|jack-ging|irene-hervey|james-mceachin|clarice-taylor|don-siegel|duke-everts|george-fargo|mervin-w.-frates|tim-frawley|otis-kadani|brit-lind|paul-e.-lippman|jack-kosslyn|ginna-patterson|malcolm-moran|cannonball-adderley|boyd-cabeen|barbara-chrysler|don-hamilton|robert-s.-holman|johnny-otis|walter-scott|walter-spear|william-tomlinson,clint-eastwood
12,12,cairo station,movie,"qinawi, a physically challenged peddler who makes his living selling newspapers in the central cairo train station, is obsessed by hanuma, an attractive young woman who sells drinks. while she jokes with him about a possible relationship, she is actually in love with abu siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,drama|comedy|crime,eg,8,farid-shawqi|hind-rostom|youssef-chahine|hassan-el-baroudi|abdel-aziz-khalil|said-khalil|farouq-eldemerdash|ahmed-abaza|safia-sarwat|asaad-kellada|sherine|soheir|esmat-mahmoud|nawal-morsi|gharib-moawad|mohamed-mazhar|galal-issa|mahrous-el-garhi|ahmed-tantawi|s.-abdel-aziz|nadia-lotfi|hussein-ismail|naima-wasfi|abdel-ghani-elnagdi|abdel-hamid-badawi|hanaa-abdel-fattah|lotfy-elhakim|sayed-elaraby,youssef-chahine
13,13,richard pryor: live in concert,movie,"richard pryor delivers monologues on race, sex, family and his favorite target—himself, live at the terrace theatre in long beach, california.",1979,comedy|documentation,us,8,richard-pryor|jennifer-lee-pryor,jeff-margolis
14,14,bandie,movie,"maharaj brajbhan lives a wealthy lifestyle in bharatpur, india along with his wife, badi rani, but have been unable to conceive for bharatpur, and have no choice but to leave it's reigns with brajban's widowed cousin, vikram, and his son, kanchan. when vikram finds out that badi rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the maharaj, and then decides to have her killed. but her killer has a change of heart and lets her live. she gives birth to a son, names him bhola, and starts living a simple lifestyle in a mandir with the help of it's poojary. years later vikram finds out she is alive and kills her, as well the poojary and the poojary's son. bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.",1978,drama|romance|action,in,5,uttam-kumar|sulakshana-pandit|utpal-dutt|nandita-thakur|satyendra-kapoor|indrani-mukherjee|prema-narayan|amjad-khan|bindu|iftekhar,alo-sarkar
15,15,prince,movie,"to better himself, a spoiled prince temporarily assumes a commoner's identity. but he soon learns his palace has been gifted to his father's new wife.",1969,romance,in,7,shammi-kapoor|vyjayanthimala|rajendra-nath|helen|parveen-choudhary|ajit-khan|d.k.-sapru|leela-mishra|david-abraham-cheulkar|asit-sen|rashid-khan|sunder|sudhir|leela-chitnis,lekh-tandon
16,16,fta,movie,"a documentary about a political troupe headed by actors jane fonda and donald sutherland which traveled to towns near military bases in the us in the early 1970s. the group put on shows called ""f.t.a."", which stood for ""f**k the army"", and was aimed at convincing soldiers to voice their opposition to the vietnam war, which was raging at the time. various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,comedy|documentation|music,us,6,jane-fonda|donald-sutherland|pamela-donegan|len-chandler|michael-alaimo|holly-near|paul-mooney|rita-martinson|peter-boyle|steve-jaffe|yale-zimmerman,francine-parker
17,17,monty python's fliegender zirkus,show,"monty python's fliegender zirkus consisted of two 45-minute monty python german television comedy specials produced by wdr for west german television. the two episodes were first broadcast in january and december 1972 and were shot entirely on film and mostly on location in bavaria, with the first episode recorded in german and the second recorded in english and then dubbed into german.",1972,comedy,gb,8,graham-chapman|john-cleese|eric-idle|terry-jones|michael-palin,ian-macnaughton
18,18,hitler: a career,movie,"a keen chronicle of the unlikely rise to power of adolf hitler (1889-1945) and a dissection of the third reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,documentation|history|european,de,8,gert-westphal,joachim-fest
19,19,amrapali,movie,"after a failed conquest, emperor ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. however, he falls in love with amrapali by faking his identity.",1966,fantasy,in,7,vyjayanthimala|sunil-dutt|prem-nath|bipin-gupta|gajanan-jagirdar|k.n.-singh|ruby-myers|narendra-nath|baburao-pendharkar|mridula-rani,lekh-tandon
20,20,alibaba aur 40 chor,movie,"the movie is based on the story of ali baba and the forty thieves, from the one thousand and one nights or arabian tales. the role of ali baba is played by dharmendra and hema malini play morjina.",1980,drama|action|romance|fantasy|family,in|su,6,dharmendra|hema-malini|zeenat-aman|prem-chopra|zakir-mukhamedzhanov|sofiko-chiaureli|yelena-sanayeva|frunzik-mkrtchyan|maya-gozel-aimedova,umesh-mehra|latif-faiziyev
21,21,manoranjan,movie,"havaldar ratan is a rookie at the local police station, and is assigned duty on foot patrol on manoranjan street, a notorious red-light area, on the very first day of his job. he strikes up a conversation with a good-looking young woman named nisha, and tells her that there is a possible violation of suppression of immoral trafficking act taking place on this street. he witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. alas, one of the men frequenting the prostitutes is none other than ratan's superior officer, who immediately summons ratan, and has him removed from service on corruption charges. nisha takes pity on a homeless and unemployed ratan, and asks him to live with her. he does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich nawab and spends time with her.",1974,romance|comedy|drama,in,6,,suhail-tatari
22,22,professor,movie,"sita devi is a very strict aunt for a number of young ladies, and does not allow them to fraternize with males. along comes pritam disguised as an elderly professor khanna to break every possible rule of the aunt",1962,drama|comedy|romance,in,7,shammi-kapoor|kalpana-mohan|lalita-pawar|parveen-choudhary|tun-tun|iftekhar|pratima-devi,lekh-tandon
23,23,khoon khoon,movie,"as a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of dirty harry.",1973,crime|drama|thriller,in,5,mahendra-sandhu|danny-denzongpa|jagdeep|faryal|padma-khanna|asit-sen|karan-dewan|agha|murad|sabina,mohammed-hussain
24,24,saladin the victorious,movie,the first sultan of egypt and syria leads the muslim military campaign against the invading christians from europe during the third crusade.,1963,drama|history|romance|war|action,eg,8,ahmed-mazhar|nadia-lotfi|salah-zulfiqar|laila-fawzy|hamdy-ghaith|laila-taher|omar-el-hariri|hussein-reyaad|mahmoud-el-meliguy|zaki-toleimat|tawfiq-eldekn|mohamed-hamdy|mohamed-sultan|mohamed-abdel-gawad|sami-lotfy|ibrahim-emara|salah-nazmi|ahmed-loxer|badr-nofal|ehsan-sherif,youssef-chahine
25,25,the other side of the mountain,movie,"one year before the olympics, jill kinmont, an 18-year-old skiing champion, suffers a fall during competition and is left paralyzed. with her life now completely altered, she undergoes an exhausting fight to regain some of what she has lost.",1975,drama|romance,us,6,marilyn-hassett|beau-bridges|belinda-montgomery|nan-martin|william-bryant|dabney-coleman|bill-vint|hampton-fancher|william-roerick|dori-brenner|walter-brooke|jocelyn-jones|greg-mabrey|tony-becker|griffin-dunne|warren-miller|robin-pepper|brad-savage,larry-peerce
26,26,dark waters,movie,"ragab, a poor sailor, returns home to alexandria after three years of absence, during which he tried to save money to marry his one true love, hamedah. but there's trouble on the harbor, and with an old friend.",1956,drama|romance|thriller,eg,7,omar-sharif|faten-hamamah|ahmed-ramzy|tawfiq-eldekn|ferdoos-mohammed|hussein-reyaad|aziza-helmy|mohamed-sobeih|reyaad-elqasabgy,youssef-chahine
27,27,the blazing sun,movie,"a rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. what he doesn't know is that his own daughter is in love with ahmed, a young man from the village.",1954,drama|crime|romance,eg,7,faten-hamamah|omar-sharif|zaki-rostom|farid-shawqi|abdel-warith-assir|hamdy-ghaith|abdel-ghani-kamar|zaki-ibrahim|abdel-ghani-elnagdi,youssef-chahine
28,28,the return of the prodigal son,movie,"in this andre gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. demonstrating chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",1976,drama|crime,eg|dz,7,hesham-selim|majida-el-roumi|ahmed-mehrez|shukry-sarhan|mahmoud-el-meliguy|huda-sultan|soheir-elmorshedy|sid-ali-kouiret|ragaa-hussein|ali-al-sharif|ahmed-abdel-wareth|ahmad-bedir|mohamed-refaat|aaidah-riyadh|ahmed-abdel-wareth,youssef-chahine
29,29,alexandria… why?,movie,"amid the poverty, death, and suffering caused by world war ii, 18-year-old yehia, retreats into a private world of fantasy and longing. obsessed with hollywood, he dreams of one-day studying filmmaking in america, but after falling in love and discovering the lies of european occupation, yehia profoundly reevaluates his identity and allegiances.",1980,drama,eg|dz,7,mohsen-mohey-eldein|mahmoud-el-meliguy|mohsena-tawfiq|abd-allah-mahmoud|ahmed-zaki|naglaa-fathy|farid-shawqi|laila-hamada|zeinab-sedky|ezzat-al-alaily|abdel-aziz-makhyoun|saif-abdel-rahman|ahmad-bedir|ahmed-mehrez|gerry-sundquist|youssef-wahby|yahia-shaheen|laila-fawzy|abdel-warith-assir|abdel-salam-mohamed|akela-kateb|ahmed-abdel-wareth|aida-kamel|oussaida-abbas|zouzou-hamdy-elhakim|samira-mohamed|gamil-eltraboulsi|hassan-hussein|bahir-bauk|amira-cherif|ali-ezz-eldein|anan-gemayel|antic-melkior|john-rodenbeck|rosemary-sabey|ahmed-salama|magdy-saif|vary-vahram|naima-elsoghier|ali-johar|mohamed-abu-hasheesh|youssef-chahine,youssef-chahine
30,30,salaakhen,movie,"separated by tragedy, two virtually inseparable childhood friends meet again, only to fall in love this time.",1975,thriller|action,in,6,shashi-kapoor|sulakshana-pandit|amrish-puri|a.k.-hangal|mehmood|goga-kapoor|anjana-mumtaz|ramesh-deo|mac-mohan|shammi-kapoor|keshto-mukherjee,a.-salaam
31,31,the land,movie,"set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord mahmoud bey. the peasants send muhammad effendi to submit a petition to the government. then mahmoud bey proposes a project that would require taking part of the peasants' lands.",1970,drama,eg,8,mahmoud-el-meliguy|nagwa-ibrahim|ezzat-al-alaily|yahia-shaheen|hamdy-ahmed|tawfiq-eldekn|salah-el-saadany|ali-al-sharif|abdel-warith-assir|abdel-rahman-elkhamesy|ashraf-elselehdar|hussein-ismail|fatma-imara‏|abdel-mohsen-selim|mahmoud-eliraqi|fayza-abdel-gawwad|nabila-el-sayed|helmy-hilaly|mohamed-elsaqqa|ibrahim-elshamy|ali-elmoaawen,youssef-chahine
32,32,elaan,movie,"naresh kumar saxena lives with his widowed mom and sister, seema. he works as a freelance photographer and journalist. one day he meets with mala mehta and her dad, who is the editor of a newspaper. mr. mehta hires naresh and assigns him to go to a remote island to investigate and expose some illegal activities there. naresh goes there in the company of his friend, shyam. unfortunately, naresh is caught by the island guards and lodged in a cell along with two others, one a scientist and ram singh, a hoodlum. the scientist confides in naresh that he has invented an atomic ring that when inserted in someone's mouth will turn that person invisible, and subsequently passes away. naresh puts the ring in his mouth, takes off his clothes, turns invisible and escapes.",1971,action|thriller|drama,in,6,vinod-mehra|rekha|vinod-khanna|helen|madan-puri,k.-ramanlal
33,33,whispers,movie,"at every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",1980,documentation,ca|fr|lb,8,nadia-tueni,maroun-bagdadi
34,34,lal patthar,movie,"raja kumar bahadur alias gyan shankar rai has been a total abstainer all his life, never touching a drop of alcohol, and keeping away from women and all known vices all his life. then one day he sees a young woman named saudamani, and instantly falls in love with her. he finds out about her background, and virtually buys her, and brings her to his palatial home. this is when he takes to drinking, and wooing her, and renaming her madhuri, but refrains from marrying her. years later, he sees another beautiful woman, about half his age, named sumita, meets with her parents, pays off their debts, and marries her in the bargain.",1971,drama,in,6,raaj-kumar|hema-malini|rakhee-gulzar|vinod-mehra|paintal|asit-sen|dulari|leela-mishra|sadhana-khote|satyendra-kapoor|d.k.-sapru|padma-khanna|miss-shefali,
35,35,seinfeld,show,a stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in new york city in the '90s. it's a show about nothing.,1989,comedy,us,9,jerry-seinfeld|jason-alexander|michael-richards|julia-louis-dreyfus,
36,36,top gun,movie,"for lieutenant pete 'maverick' mitchell and his friend and co-pilot nick 'goose' bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. but a tragedy, as well as personal demons, will threaten pete's dreams of becoming an ace pilot.",1986,drama|action,us,7,tom-cruise|kelly-mcgillis|val-kilmer|anthony-edwards|tom-skerritt|michael-ironside|john-stockwell|barry-tubb|rick-rossovich|tim-robbins|clarence-gilyard-jr.|whip-hubley|james-tolkan|meg-ryan|adrian-pasdar|randall-brady|duke-stroud|ron-clark|frank-pesce|pete-pettigrew|troy-hunter|t.j.-cassidy,tony-scott
37,37,road house,movie,"the double deuce is the meanest, loudest and rowdiest bar south of the mason-dixon line, and dalton has been hired to clean it up. he might not look like much, but the ph.d.-educated bouncer proves he's more than capable -- busting the heads of troublemakers and turning the roadhouse into a jumping hot-spot. but dalton's romance with the gorgeous dr. clay puts him on the bad side of cutthroat local big shot brad wesley.",1989,action|thriller,us,7,patrick-swayze|kelly-lynch|sam-elliott|ben-gazzara|marshall-r.-teague|julie-michaels|red-west|sunshine-parker|kevin-tighe|john-doe|kathleen-wilhoite|travis-mckenna|roger-hewlett|bob-jennings|kym-malin|jeff-healey|gary-hudson|joe-unger|sheila-ryan|keith-david|patricia-tallman|heidi-paine|jacklyn-palmer|laura-albert|christina-veronica|jasae|michele-burger|terry-funk|susan-lentini|cheryl-baker|dawn-ciccone|benny-urquidez|julie-royer|tiny-ron-taylor|chino-'fats'-williams|christopher-collins|michael-rider|john-william-young,rowdy-herrington
38,38,rocky iv,movie,"rocky balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: drago, a six-foot-four, 261-pound fighter who has the backing of the soviet union.",1985,drama|sport,us,7,sylvester-stallone|talia-shire|burt-young|carl-weathers|dolph-lundgren|brigitte-nielsen|tony-burton|michael-pataki|stu-nahan|al-bandiero|dominic-barto|danial-brown|james-brown|rose-mary-campos|jack-carpenter|mark-de-alessandro|marty-denkin|lou-fillipo|james-'cannonball'-green|dean-hammond|sergei-levin|tony-maffatone|sylvia-meals|dwayne-mcgee|leroy-neiman|george-pipasik|george-rogan|barry-tompkins|warner-wolf|robert-doornick|richard-blum|gerald-berns|ray-glanzmann|patrick-pankhurst|jean-thoreau|frank-d'annibale|rose-dursey|richard-a.-kelley|craig-schaefer|jeff-austin|leslie-morris|bob-giovane|george-spaventa|rolf-williams|jim-hodges|r.j.-adams,sylvester-stallone
39,39,labyrinth,movie,"when teen sarah is forced to babysit toby, her baby stepbrother, she summons jareth the goblin king to take him away. when he is actually kidnapped, sarah is given just thirteen hours to solve a labyrinth and rescue him.",1986,fantasy|family|european,us|gb,7,david-bowie|jennifer-connelly|toby-froud|shelley-thompson|christopher-malcolm|natalie-finland|shari-weiser|brian-henson|ron-mueck|rob-mills|dave-goelz|david-alan-barclay|david-shaughnessy|karen-prell|timothy-bateson|frank-oz|michael-hordern|denise-bryer|steve-whitmire|kevin-clash|anthony-asbury|anthony-jackson|douglas-blackwell|david-healy|robert-beatty|toby-philpott|ian-thom|charles-augins|sherry-amott|danny-john-jules|cheryl-henson|kaefan-shaw|rollin-krewson|richard-bodkin|percy-edwards|michael-attwell|sean-barrett|john-bluthal|peter-marinker|kerry-shale|marc-antona|kenny-baker|danny-blackner|peter-burroughs|toby-denver-clark|tessa-crockett|warwick-davis|malcolm-dixon|anthony-georghiou|paul-grant|john-key|andrew-herd|richard-jones|jack-purvis|mark-lisle|peter-mandell|linda-spriggs|katie-purvis|nicholas-read|albert-wilkinson|penny-stead|michael-henbury-ballan|elfrida-ashworth|margaret-foyer|elizabeth-a.-gilbert|louise-gold|san-lee|janis-mackintosh|penny-marsden|kim-mendez|wendy-millward|caroline-pope|sharon-white|john-aron|terry-dane|derek-hartley|douglas-howes|christopher-preston|peter-sim|graeme-sneddon|graham-tudor-phillips|david-turner|barrie-j.-wilkinson|jim-henson,jim-henson
40,40,rocky iii,movie,"now the world champion, rocky balboa is living in luxury and only fighting opponents who pose no threat to him in the ring, until clubber lang challenges him to a bout. after taking a pounding from lang, the humbled champ turns to former bitter rival apollo creed for a rematch with lang.",1982,drama|sport,us,7,sylvester-stallone|talia-shire|burt-young|carl-weathers|mr.-t|burgess-meredith|tony-burton|hulk-hogan|ian-fried|al-silvani|wally-taylor|jim-hill|don-sherman|dennis-james|jim-healy|ray-gedeon|gene-crane|stu-nahan|bill-baldwin|jimmy-lennon-sr.|marty-denkin|john-david-morris|lou-fillipo|jeff-temkin|mario-machado|tony-hernández|frank-stallone|philmore-berger|big-yank|françois-andré|eddie-smith|chino-'fats'-williams|leroy-neiman|bob-minor|clifford-strong|julius-leflore|jason-felice|tony-brubaker|rex-pierson|ray-notaro-jr.|charles-a.-tamburro|carey-lindley|jophery-c.-brown|gilbert-b.-combs|david-cadiente|roger-braxton|j.d.-smith|tom-lupo|melvin-jones|alex-brown|david-r.-ellis|clarke-coleman|billy-hank-hooker|mickey-gilbert|fred-waugh,sylvester-stallone
41,41,fletch,movie,"when investigative reporter irwin ""fletch"" fletcher goes undercover to write a piece on the drug trade at a local beach, he's approached by wealthy businessman alan stanwyk, who offers him $50,000 to murder him. with sarcastic wit and a knack for disguises, fletch sets out to uncover stanwyk's story.",1985,comedy|crime|thriller,us,7,chevy-chase|joe-don-baker|dana-wheeler-nicholson|richard-libertini|tim-matheson|m.-emmet-walsh|geena-davis|george-wendt|kenneth-mars|bill-henderson|william-traylor|george-wyner|tony-longo|larry-jenkins|ralph-seymour|kareem-abdul-jabbar|william-sanderson|beau-starr|james-avery|peggy-doyle|david-w.-harper|burton-gilliam|chick-hearn|alison-la-placa|william-sanderson|merv-maruyama,michael-ritchie
42,42,the 'burbs,movie,"when secretive new neighbors move in next door, suburbanite ray peterson and his friends let their paranoia get the best of them as they start to suspect the newcomers of evildoings and commence an investigation. but it's hardly how ray, who much prefers drinking beer, reading his newspaper and watching a ball game on the tube expected to spend his vacation.",1989,thriller|comedy,us,7,tom-hanks|bruce-dern|carrie-fisher|rick-ducommun|wendy-schaal|corey-feldman|courtney-gains|henry-gibson|gale-gordon|dick-miller|robert-picardo|theodore-gottlieb|franklyn-ajaye|cory-danziger|rance-howard|heather-haase|nicky-katt|bill-stevenson|gary-hays|kevin-gage|dana-olsen|brenda-benner|patrika-darbo|sonny-carl-davis|moosie-drier|leigh-french|archie-hahn|billy-jayne|phyllis-katz|jeffrey-kramer|lynne-marie-stewart|arnold-f.-turner|gigi-vorgan|carey-scott|tony-westbrook|darla,joe-dante
